Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1949/1950,Anderson Packers,64,,30.4,97.7,.311,,,,30.4,97.7,.311,26.6,36.6,.727,,,,19.4,,,,28.2,87.3
1949/1950,Indianapolis Olympians,64,,31.0,82.5,.375,,,,31.0,82.5,.375,23.9,33.5,.713,,,,21.0,,,,26.2,85.8
1949/1950,Syracuse Nationals,64,,29.2,82.4,.354,,,,29.2,82.4,.354,26.4,37.4,.706,,,,23.0,,,,28.6,84.8
1949/1950,Minneapolis Lakers,68,,31.5,85.8,.367,,,,31.5,85.8,.367,21.2,28.6,.741,,,,20.7,,,,24.6,84.1
1949/1950,Tri-Cities Blackhawks,64,,28.4,86.2,.330,,,,28.4,86.2,.330,26.2,36.1,.727,,,,20.8,,,,32.1,83.0
1949/1950,Rochester Royals,68,,28.8,77.2,.373,,,,28.8,77.2,.373,24.9,34.1,.729,,,,20.3,,,,23.3,82.4
1949/1950,Sheboygan Red Skins,62,,27.9,81.0,.344,,,,27.9,81.0,.344,26.7,37.7,.707,,,,20.6,,,,28.5,82.4
1949/1950,New York Knicks,68,,27.8,78.7,.353,,,,27.8,78.7,.353,25.1,35.4,.711,,,,19.2,,,,25.3,80.7
1949/1950,Boston Celtics,68,,28.6,84.6,.338,,,,28.6,84.6,.338,22.5,31.8,.707,,,,21.7,,,,24.2,79.7
1949/1950,Waterloo Hawks,62,,28.2,79.1,.356,,,,28.2,79.1,.356,23.0,32.3,.714,,,,21.4,,,,28.7,79.4
1949/1950,Fort Wayne Pistons,68,,27.6,86.8,.318,,,,27.6,86.8,.318,24.0,34.3,.701,,,,20.1,,,,30.4,79.3
1949/1950,Chicago Stags,68,,29.5,86.6,.340,,,,29.5,86.6,.340,19.8,28.4,.696,,,,20.1,,,,29.1,78.7
1949/1950,Denver Nuggets,62,,27.9,83.6,.334,,,,27.9,83.6,.334,21.9,32.2,.678,,,,16.8,,,,27.3,77.7
1949/1950,Washington Capitols,68,,26.7,80.8,.330,,,,26.7,80.8,.330,23.2,31.0,.746,,,,15.5,,,,27.0,76.5
1949/1950,St. Louis Bombers,68,,25.6,74.8,.342,,,,25.6,74.8,.342,22.5,31.6,.711,,,,18.9,,,,23.5,73.7
1949/1950,Philadelphia Warriors,68,,26.2,84.0,.312,,,,26.2,84.0,.312,21.0,30.0,.700,,,,16.8,,,,26.0,73.3
1949/1950,Baltimore Bullets,68,,25.2,81.1,.310,,,,25.2,81.1,.310,22.8,31.2,.730,,,,17.5,,,,26.4,73.1
1950/1951,Syracuse Nationals,66,,28.5,81.3,.351,,,,28.5,81.3,.351,29.0,39.9,.726,,,49.4,22.6,,,,30.2,86.1
1950/1951,New York Knicks,66,,30.9,81.5,.379,,,,30.9,81.5,.379,24.1,33.8,.714,,,51.8,23.5,,,,27.4,85.8
1950/1951,Philadelphia Warriors,66,,30.1,85.8,.350,,,,30.1,85.8,.350,25.2,33.0,.763,,,54.3,21.7,,,,25.9,85.4
1950/1951,Boston Celtics,69,,29.9,81.3,.368,,,,29.9,81.3,.368,25.4,35.0,.725,,,50.7,22.9,,,,27.3,85.2
1950/1951,Rochester Royals,68,,29.9,79.1,.378,,,,29.9,79.1,.378,24.9,33.1,.753,,,44.3,20.1,,,,22.6,84.6
1950/1951,Tri-Cities Blackhawks,68,,29.2,88.8,.329,,,,29.2,88.8,.329,25.8,35.7,.723,,,54.6,21.7,,,,30.8,84.3
1950/1951,Fort Wayne Pistons,68,,29.4,87.2,.338,,,,29.4,87.2,.338,25.3,35.1,.720,,,54.8,16.8,,,,28.8,84.1
1950/1951,Minneapolis Lakers,68,,30.6,82.2,.373,,,,30.6,82.2,.373,21.5,29.3,.736,,,50.1,20.7,,,,26.5,82.8
1950/1951,Baltimore Bullets,66,,29.6,84.0,.353,,,,29.6,84.0,.353,22.8,30.6,.745,,,46.1,20.4,,,,26.3,82.0
1950/1951,Indianapolis Olympians,68,,30.8,85.0,.363,,,,30.8,85.0,.363,20.0,28.0,.717,,,40.9,21.4,,,,23.1,81.7
1950/1951,Washington Capitols,35,,27.6,82.7,.334,,,,27.6,82.7,.334,26.1,34.1,.765,,,44.8,16.7,,,,30.0,81.3
