Season,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,srs,Playoffs
1949/1950,Minneapolis Lakers,51,17,.750,—,84.1,75.7,8.25,Yes
1949/1950,Rochester Royals,51,17,.750,—,82.4,74.6,7.72,Yes
1949/1950,Fort Wayne Pistons,40,28,.588,11.0,79.3,77.9,1.84,Yes
1949/1950,Chicago Stags,40,28,.588,11.0,78.7,77.1,2.06,Yes
1949/1950,St. Louis Bombers,26,42,.382,25.0,73.7,76.5,-2.01,No
1949/1950,Syracuse Nationals,51,13,.797,—,84.8,76.7,6.48,Yes
1949/1950,New York Knicks,40,28,.588,13.0,80.7,78.6,2.53,Yes
1949/1950,Washington Capitols,32,36,.471,21.0,76.5,77.4,-0.28,Yes
1949/1950,Philadelphia Warriors,26,42,.382,27.0,73.3,76.4,-2.27,Yes
1949/1950,Baltimore Bullets,25,43,.368,28.0,73.1,78.7,-4.55,No
1949/1950,Boston Celtics,22,46,.324,31.0,79.7,82.2,-1.73,No
1949/1950,Indianapolis Olympians,39,25,.609,—,85.8,82.1,2.59,Yes
1949/1950,Anderson Packers,37,27,.578,2.0,87.3,83.5,2.42,Yes
1949/1950,Tri-Cities Blackhawks,29,35,.453,10.0,83.0,83.6,-1.43,Yes
1949/1950,Sheboygan Red Skins,22,40,.355,16.0,82.4,87.8,-5.85,Yes
1949/1950,Waterloo Hawks,19,43,.306,19.0,79.4,84.9,-5.96,No
1949/1950,Denver Nuggets,11,51,.177,27.0,77.7,89.2,-11.31,No
1950/1951,Philadelphia Warriors,40,26,.606,—,85.4,81.6,3.40,Yes
1950/1951,Boston Celtics,39,30,.565,2.5,85.2,85.5,-0.41,Yes
1950/1951,New York Knicks,36,30,.545,4.0,85.8,85.4,0.49,Yes
1950/1951,Syracuse Nationals,32,34,.485,8.0,86.1,85.5,0.62,Yes
1950/1951,Baltimore Bullets,24,42,.364,16.0,82.0,84.3,-1.94,No
1950/1951,Washington Capitols,10,25,.286,14.5,81.3,86.0,-4.63,No
1950/1951,Minneapolis Lakers,44,24,.647,—,82.8,77.4,4.79,Yes
1950/1951,Rochester Royals,41,27,.603,3.0,84.6,81.7,2.54,Yes
1950/1951,Fort Wayne Pistons,32,36,.471,12.0,84.1,86.0,-1.81,Yes
1950/1951,Indianapolis Olympians,31,37,.456,13.0,81.7,84.1,-2.00,Yes
1950/1951,Tri-Cities Blackhawks,25,43,.368,19.0,84.3,88.1,-3.22,No
