Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
2019/2020,NBA,Toronto Raptors,53,19,.736,—,112.8,106.5,Yes
2019/2020,NBA,Boston Celtics,48,24,.667,5.0,113.7,107.3,Yes
2019/2020,NBA,Philadelphia 76ers,43,30,.589,10.5,110.7,108.4,Yes
2019/2020,NBA,Brooklyn Nets,35,37,.486,18.0,111.8,112.3,Yes
2019/2020,NBA,New York Knicks,21,45,.318,29.0,105.8,112.3,No
2019/2020,NBA,Milwaukee Bucks,56,17,.767,—,118.7,108.6,Yes
2019/2020,NBA,Indiana Pacers,45,28,.616,11.0,109.4,107.5,Yes
2019/2020,NBA,Chicago Bulls,22,43,.338,30.0,106.8,109.9,No
2019/2020,NBA,Detroit Pistons,20,46,.303,32.5,107.2,110.8,No
2019/2020,NBA,Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,No
2019/2020,NBA,Miami Heat,44,29,.603,—,112.0,109.1,Yes
2019/2020,NBA,Orlando Magic,33,40,.452,11.0,107.3,108.3,Yes
2019/2020,NBA,Charlotte Hornets,23,42,.354,17.0,102.9,109.6,No
2019/2020,NBA,Washington Wizards,25,47,.347,18.5,114.4,119.1,No
2019/2020,NBA,Atlanta Hawks,20,47,.299,21.0,111.8,119.7,No
2019/2020,NBA,Denver Nuggets,46,27,.630,—,111.3,109.2,Yes
2019/2020,NBA,Oklahoma City Thunder,44,28,.611,1.5,110.4,108.4,Yes
2019/2020,NBA,Utah Jazz,44,28,.611,1.5,111.3,108.8,Yes
2019/2020,NBA,Portland Trail Blazers,35,39,.473,11.5,115.0,116.1,Yes
2019/2020,NBA,Minnesota Timberwolves,19,45,.297,22.5,113.3,117.5,No
2019/2020,NBA,Los Angeles Lakers,52,19,.732,—,113.4,107.6,Yes
2019/2020,NBA,Los Angeles Clippers,49,23,.681,3.5,116.3,109.9,Yes
2019/2020,NBA,Phoenix Suns,34,39,.466,19.0,113.6,113.4,No
2019/2020,NBA,Sacramento Kings,31,41,.431,21.5,110.1,112.1,No
2019/2020,NBA,Golden State Warriors,15,50,.231,34.0,106.3,115.0,No
2019/2020,NBA,Houston Rockets,44,28,.611,—,117.8,114.8,Yes
2019/2020,NBA,Dallas Mavericks,43,32,.573,2.5,117.0,112.1,Yes
2019/2020,NBA,Memphis Grizzlies,34,39,.466,10.5,112.6,113.7,No
2019/2020,NBA,San Antonio Spurs,32,39,.451,11.5,114.1,115.2,No
2019/2020,NBA,New Orleans Pelicans,30,42,.417,14.0,115.8,117.1,No
2019/2020,WNBA,Chicago Sky,12,10,.545,—,86.7,84.1,Yes
2019/2020,WNBA,Connecticut Sun,10,12,.455,2.0,80.4,79.9,Yes
2019/2020,WNBA,Washington Mystics,9,13,.409,3.0,80.0,81.5,Yes
2019/2020,WNBA,Atlanta Dream,7,15,.318,5.0,81.0,87.6,No
2019/2020,WNBA,Indiana Fever,6,16,.273,6.0,81.7,89.5,No
2019/2020,WNBA,New York Liberty,2,20,.091,10.0,71.9,85.9,No
2019/2020,WNBA,Las Vegas Aces,18,4,.818,—,88.7,80.1,Yes
2019/2020,WNBA,Seattle Storm,18,4,.818,—,87.5,76.0,Yes
2019/2020,WNBA,Los Angeles Sparks,15,7,.682,3.0,84.9,80.3,Yes
2019/2020,WNBA,Minnesota Lynx,14,8,.636,4.0,84.4,80.6,Yes
2019/2020,WNBA,Phoenix Mercury,13,9,.591,5.0,86.1,84.1,Yes
2019/2020,WNBA,Dallas Wings,8,14,.364,10.0,83.4,87.0,No
2020/2021,NBA,Philadelphia 76ers,49,23,.681,—,113.6,108.1,Yes
2020/2021,NBA,Brooklyn Nets,48,24,.667,1.0,118.6,114.1,Yes
2020/2021,NBA,New York Knicks,41,31,.569,8.0,107.0,104.7,Yes
2020/2021,NBA,Boston Celtics,36,36,.500,13.0,112.6,111.2,Yes
2020/2021,NBA,Toronto Raptors,27,45,.375,22.0,111.3,111.7,No
2020/2021,NBA,Milwaukee Bucks,46,26,.639,—,120.1,114.2,Yes
2020/2021,NBA,Indiana Pacers,34,38,.472,12.0,115.3,115.3,No
2020/2021,NBA,Chicago Bulls,31,41,.431,15.0,110.7,111.6,No
2020/2021,NBA,Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,No
2020/2021,NBA,Detroit Pistons,20,52,.278,26.0,106.6,111.1,No
2020/2021,NBA,Atlanta Hawks,41,31,.569,—,113.7,111.4,Yes
2020/2021,NBA,Miami Heat,40,32,.556,1.0,108.1,108.0,Yes
2020/2021,NBA,Washington Wizards,34,38,.472,7.0,116.6,118.5,Yes
2020/2021,NBA,Charlotte Hornets,33,39,.458,8.0,109.5,111.4,No
2020/2021,NBA,Orlando Magic,21,51,.292,20.0,104.0,113.3,No
2020/2021,NBA,Utah Jazz,52,20,.722,—,116.4,107.2,Yes
2020/2021,NBA,Denver Nuggets,47,25,.653,5.0,115.1,110.1,Yes
2020/2021,NBA,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,Yes
2020/2021,NBA,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,No
2020/2021,NBA,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,No
2020/2021,NBA,Phoenix Suns,51,21,.708,—,115.3,109.5,Yes
2020/2021,NBA,Los Angeles Clippers,47,25,.653,4.0,114.0,107.8,Yes
2020/2021,NBA,Los Angeles Lakers,42,30,.583,9.0,109.5,106.8,Yes
2020/2021,NBA,Golden State Warriors,39,33,.542,12.0,113.7,112.7,No
2020/2021,NBA,Sacramento Kings,31,41,.431,20.0,113.7,117.4,No
2020/2021,NBA,Dallas Mavericks,42,30,.583,—,112.4,110.2,Yes
2020/2021,NBA,Memphis Grizzlies,38,34,.528,4.0,113.3,112.3,Yes
2020/2021,NBA,San Antonio Spurs,33,39,.458,9.0,111.1,112.8,No
2020/2021,NBA,New Orleans Pelicans,31,41,.431,11.0,114.6,114.9,No
2020/2021,NBA,Houston Rockets,17,55,.236,25.0,108.8,116.7,No
2020/2021,WNBA,Connecticut Sun,26,6,.813,—,79.7,69.9,Yes
2020/2021,WNBA,Chicago Sky,16,16,.500,10.0,83.3,81.9,Yes
2020/2021,WNBA,New York Liberty,12,20,.375,14.0,78.5,85.5,Yes
2020/2021,WNBA,Washington Mystics,12,20,.375,14.0,79.8,83.6,No
2020/2021,WNBA,Atlanta Dream,8,24,.250,18.0,78.7,84.3,No
2020/2021,WNBA,Indiana Fever,6,26,.188,20.0,75.3,85.1,No
2020/2021,WNBA,Las Vegas Aces,24,8,.750,—,89.3,80.2,Yes
2020/2021,WNBA,Minnesota Lynx,22,10,.688,2.0,82.7,78.7,Yes
2020/2021,WNBA,Seattle Storm,21,11,.656,3.0,84.8,80.4,Yes
2020/2021,WNBA,Phoenix Mercury,19,13,.594,5.0,82.1,79.5,Yes
2020/2021,WNBA,Dallas Wings,14,18,.438,10.0,81.1,81.7,Yes
2020/2021,WNBA,Los Angeles Sparks,12,20,.375,12.0,72.8,77.1,No
2021/2022,NBA,Boston Celtics,51,31,.622,—,111.8,104.5,Yes
2021/2022,NBA,Philadelphia 76ers,51,31,.622,—,109.9,107.3,Yes
2021/2022,NBA,Toronto Raptors,48,34,.585,3.0,109.4,107.1,Yes
2021/2022,NBA,Brooklyn Nets,44,38,.537,7.0,112.9,112.1,Yes
2021/2022,NBA,New York Knicks,37,45,.451,14.0,106.5,106.6,No
2021/2022,NBA,Milwaukee Bucks,51,31,.622,—,115.5,112.1,Yes
2021/2022,NBA,Chicago Bulls,46,36,.561,5.0,111.6,112.0,Yes
2021/2022,NBA,Cleveland Cavaliers,44,38,.537,7.0,107.8,105.7,No
2021/2022,NBA,Indiana Pacers,25,57,.305,26.0,111.5,114.9,No
