"","Season","League","Team","Playoffs","win_loss_pct","fg","fg2","fg3","ft","pf","age","fg_pct","fga","fg3_pct","fg3a","ft_pct","orb","drb","ast","stl","tov","off_rtg","def_rtg","pace","ts_pct","efg_pct","opp_efg_pct","sos"
"1","2021-22","NBA","Boston Celtics","Yes",0.622,40.7,27.5,13.2,17,18.5,26.1,0.466,87.4,0.356,37.1,0.816,10.5,35.5,24.8,7.2,13.6,114.4,106.9,96.6,0.578,0.542,0.502,-0.26
"2","2021-22","NBA","Philadelphia 76ers","Yes",0.622,39.4,27.8,11.6,19.6,19.4,26.8,0.466,84.5,0.364,31.8,0.821,8.5,33.8,23.7,7.7,12.5,113.5,110.8,96.2,0.578,0.534,0.524,-0.04
"3","2021-22","NBA","Toronto Raptors","Yes",0.585,40.6,28.7,11.9,16.2,19.6,24.8,0.445,91.3,0.349,34.2,0.759,13.4,32,22.1,9,12.5,112.9,110.5,96,0.543,0.51,0.535,0.08
"4","2021-22","NBA","Brooklyn Nets","Yes",0.537,42,30.5,11.5,17.5,20.4,29.1,0.475,88.4,0.361,31.7,0.805,10.3,34.1,25.3,7.1,14.1,113.6,112.8,99,0.576,0.54,0.521,0.04
"5","2021-22","NBA","New York Knicks","No",0.451,37.7,24.5,13.2,18,20.4,26,0.437,86.2,0.357,36.9,0.744,11.5,34.6,21.9,7,13.3,110.4,110.5,95.9,0.55,0.513,0.521,0.11
"6","2021-22","NBA","Milwaukee Bucks","Yes",0.622,41.8,27.8,14.1,17.8,18.2,28.5,0.468,89.4,0.366,38.4,0.776,10.2,36.5,23.9,7.6,13.4,115.1,111.8,99.9,0.58,0.546,0.536,-0.14
"7","2021-22","NBA","Chicago Bulls","Yes",0.561,41.7,31.1,10.6,17.5,18.8,26.3,0.48,86.9,0.369,28.8,0.813,8.7,33.7,23.9,7.1,12.8,113.2,113.6,98.3,0.579,0.541,0.541,0.02
"8","2021-22","NBA","Cleveland Cavaliers","No",0.537,39.7,28.1,11.6,16.8,17.5,24.7,0.469,84.6,0.355,32.8,0.76,10.2,34,25.2,7.1,14.4,111.9,109.7,96.1,0.571,0.538,0.52,-0.08
"9","2021-22","NBA","Indiana Pacers","No",0.305,41.4,29.3,12.2,16.4,20.4,26,0.463,89.5,0.344,35.4,0.768,11.3,32.6,25.4,7.1,14.4,112.6,116.1,98,0.564,0.531,0.552,0.22
"10","2021-22","NBA","Detroit Pistons","No",0.28,38.2,26.9,11.3,17.2,21.9,23.6,0.431,88.6,0.326,34.6,0.782,11,32,23.5,7.7,14.2,106,113.8,98.4,0.533,0.494,0.541,0.37
"11","2021-22","NBA","Miami Heat","Yes",0.646,39.6,26,13.6,17.3,20.5,28.2,0.467,84.8,0.379,35.8,0.808,9.8,33.9,25.5,7.4,14.6,113.7,109.1,95.9,0.584,0.547,0.524,-0.22
"12","2021-22","NBA","Atlanta Hawks","Yes",0.524,41.5,28.6,12.9,18.1,18.7,26.1,0.47,88.3,0.374,34.4,0.812,10,33.9,24.6,7.2,11.9,116.5,114.9,97.7,0.581,0.543,0.543,-0.01
"13","2021-22","NBA","Charlotte Hornets","No",0.524,42.8,28.8,13.9,15.8,19.9,25.5,0.468,91.4,0.365,38.2,0.74,10.8,33.7,28.1,8.6,13.3,114.1,113.7,100,0.572,0.544,0.544,0.09
"14","2021-22","NBA","Washington Wizards","No",0.427,40.6,30.1,10.5,17,18.8,25.9,0.472,86,0.342,30.6,0.783,9,34.1,25,6.4,13.1,111.1,114.5,97,0.568,0.532,0.529,0.15
"15","2021-22","NBA","Orlando Magic","No",0.268,38.3,26.1,12.2,15.5,19.7,23.3,0.434,88.3,0.331,36.9,0.787,9.1,35.2,23.7,6.8,14.5,104.5,112.5,99.2,0.538,0.503,0.532,0.33
"16","2021-22","NBA","Utah Jazz","Yes",0.598,40.6,26,14.5,17.9,18.9,29.3,0.471,86.2,0.36,40.3,0.767,10.8,35.6,22.4,7.2,14,116.7,110.5,97.1,0.589,0.555,0.521,-0.37
"17","2021-22","NBA","Denver Nuggets","Yes",0.585,41.7,29,12.7,16.7,20,27.7,0.483,86.3,0.353,35.9,0.795,9.2,34.9,27.8,7.2,14.5,114.5,112.1,97.8,0.59,0.556,0.537,-0.15
"18","2021-22","NBA","Minnesota Timberwolves","Yes",0.561,41.6,26.8,14.8,18,21.8,24.2,0.457,91,0.358,41.3,0.778,11.2,32.9,25.7,8.8,14.3,114.3,111.7,100.9,0.573,0.539,0.535,-0.1
"19","2021-22","NBA","Portland Trail Blazers","No",0.329,38.5,25.8,12.7,16.4,21.1,25.6,0.442,87.1,0.346,36.8,0.76,10.4,32.5,22.9,8,14.5,107.8,116.9,98.3,0.55,0.515,0.559,0.33
"20","2021-22","NBA","Oklahoma City Thunder","No",0.293,38.3,26.2,12.1,15,18.3,22.4,0.43,89.1,0.323,37.4,0.756,10.4,35.2,22.2,7.6,14,104.6,112.8,98.5,0.53,0.497,0.533,0.2
"21","2021-22","NBA","Phoenix Suns","Yes",0.78,43.7,32.1,11.6,15.9,19.9,27.5,0.485,90.1,0.364,31.9,0.797,9.8,35.5,27.4,8.6,12.9,114.8,107.3,99.8,0.581,0.549,0.51,-0.56
"22","2021-22","NBA","Golden State Warriors","Yes",0.646,40.5,26.2,14.3,15.6,21,27.6,0.469,86.4,0.364,39.4,0.769,9.8,35.7,27.1,8.8,14.9,112.5,106.9,98.4,0.582,0.552,0.509,-0.02
"23","2021-22","NBA","Los Angeles Clippers","No",0.512,40.1,27.3,12.8,15.5,18.6,27.5,0.458,87.4,0.374,34.2,0.793,9.1,34.9,24,7.4,13.7,110.1,110.1,98,0.564,0.531,0.514,0.06
"24","2021-22","NBA","Los Angeles Lakers","No",0.402,41.6,29.7,12,16.8,20.2,30.2,0.469,88.8,0.347,34.5,0.732,9.5,34.5,24,7.6,14.5,110.3,113.3,100.1,0.567,0.537,0.54,-0.03
"25","2021-22","NBA","Sacramento Kings","No",0.366,40.5,29.1,11.4,17.9,18.9,25.8,0.46,88.1,0.344,33.2,0.768,9.6,33.4,23.7,7.2,14.1,109.9,115.3,99.8,0.561,0.525,0.551,0.2
