Season,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,srs,Playoffs,age,wins_pyth,losses_pyth,mov,sos,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1991/1992,Boston Celtics,51,31,.622,—,106.6,103.0,3.41,Yes,29.2,51,31,3.62,-0.21,110.8,107.0,+3.8,95.8,.266,.050,.544,.500,12.7,31.9,.215,.469,11.9,68.7,.220,"610,776","14,890",82,241.2,43.2,87.8,.492,1.3,4.4,.306,41.9,83.4,.502,18.9,23.4,.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6
1991/1992,New York Knicks,51,31,.622,—,101.6,97.7,3.67,Yes,27.3,52,30,3.89,-0.22,108.3,104.2,+4.1,92.9,.295,.089,.531,.491,13.7,34.6,.216,.471,14.0,71.1,.248,"726,608","17,879",82,242.1,40.4,84.7,.477,2.5,7.5,.325,37.9,77.2,.492,18.3,25.0,.734,14.5,30.4,44.8,26.0,7.7,4.7,15.1,23.2,101.6
1991/1992,New Jersey Nets,40,42,.488,11.0,105.4,107.1,-1.54,Yes,25.6,36,46,-1.70,0.15,107.0,108.7,-1.7,98.0,.265,.088,.510,.473,14.1,39.1,.194,.488,14.1,66.3,.247,"517,356","20,049",82,241.2,42.4,92.4,.458,2.7,8.2,.334,39.6,84.3,.470,17.9,24.5,.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4
1991/1992,Miami Heat,38,44,.463,13.0,105.0,109.2,-3.94,Yes,24.4,30,52,-4.21,0.27,106.7,110.9,-4.2,97.7,.330,.106,.532,.479,14.6,33.0,.260,.508,13.9,67.6,.235,"613,583",,82,241.8,39.7,86.1,.461,3.1,9.2,.342,36.6,77.0,.475,22.4,28.4,.790,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105.0
1991/1992,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,No,27.6,37,45,-1.27,-0.07,108.3,109.7,-1.4,93.7,.335,.101,.539,.488,13.8,30.9,.260,.496,13.0,66.4,.192,"574,137",,82,240.9,38.9,82.5,.471,2.8,8.3,.334,36.1,74.2,.487,21.4,27.6,.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9
1991/1992,Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,No,26.1,29,53,-4.46,0.11,103.9,108.4,-4.5,97.7,.268,.074,.514,.471,13.3,28.9,.208,.493,14.0,66.2,.235,"505,988",,82,242.1,41.0,89.0,.461,1.8,6.5,.272,39.2,82.5,.476,18.5,23.9,.778,13.0,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4
1991/1992,Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,No,26.6,23,59,-6.91,0.40,103.5,110.5,-7.0,98.0,.319,.086,.514,.467,14.6,32.4,.238,.502,13.5,67.8,.260,"621,191",,82,240.3,39.3,86.6,.453,2.4,7.4,.324,36.9,79.2,.466,20.6,27.7,.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6
1991/1992,Chicago Bulls,67,15,.817,—,109.9,99.5,10.07,Yes,27.6,66,16,10.44,-0.37,115.5,104.5,+11.0,94.4,.297,.063,.556,.518,11.8,35.1,.221,.476,14.1,69.3,.219,"759,980",,82,241.8,44.4,87.4,.508,1.7,5.5,.304,42.7,81.9,.522,19.4,26.0,.744,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9
1991/1992,Cleveland Cavaliers,57,25,.695,10.0,108.9,103.4,5.34,Yes,27.6,55,27,5.45,-0.11,113.9,108.2,+5.7,95.0,.322,.101,.557,.506,11.8,30.5,.259,.483,12.3,66.5,.174,"677,408",,82,241.5,41.8,85.7,.488,3.1,8.6,.357,38.7,77.0,.502,22.2,27.5,.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19.0,108.9
1991/1992,Detroit Pistons,48,34,.585,19.0,98.9,96.9,2.06,Yes,30.1,47,35,2.04,0.01,107.5,105.3,+2.2,91.6,.307,.077,.520,.477,13.5,34.9,.228,.468,12.5,68.5,.204,"879,614","21,454",82,241.2,38.9,83.7,.465,2.0,6.4,.314,36.9,77.3,.477,19.1,25.7,.743,14.8,29.5,44.3,23.2,6.7,4.4,14.8,20.1,98.9
